STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD_NM,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT
2013,4,발달상권,분식전문점,788135694.1476793
2013,4,발달상권,양식음식점,1395266200.2077296
2013,4,발달상권,일식음식점,914244751.8151659
2013,4,발달상권,중식음식점,466886279.3254717
2013,4,발달상권,치킨전문점,461998446.29281765
2013,4,발달상권,커피·음료,1440060642.322314
2013,4,발달상권,패스트푸드점,555046496.1758242
2013,4,발달상권,한식음식점,5750518310.772908
2013,4,전통시장,분식전문점,116403671.45679012
2013,4,전통시장,양식음식점,243890662.35714287
2013,4,전통시장,일식음식점,135494049.26923078
2013,4,전통시장,중식음식점,79490338.91025642
2013,4,전통시장,치킨전문점,77696337.00952381
2013,4,전통시장,커피·음료,124645150.91346154
2013,4,전통시장,패스트푸드점,161932308.9722222
2013,4,전통시장,한식음식점,742373960.9117647
2014,1,골목상권,분식전문점,96349113.27611044
2014,1,골목상권,양식음식점,217523622.00653595
2014,1,골목상권,일식음식점,144899186.90127388
2014,1,골목상권,중식음식점,100197685.66060606
2014,1,골목상권,치킨전문점,92245211.802521
2014,1,골목상권,커피·음료,121093445.41645886
2014,1,골목상권,패스트푸드점,106486531.57983193
2014,1,골목상권,한식음식점,800584080.667002
2014,1,관광특구,분식전문점,4211007964.3333335
2014,1,관광특구,양식음식점,8442642707.333333
2014,1,관광특구,일식음식점,3617923814.1666665
2014,1,관광특구,중식음식점,2335852333.3333335
2014,1,관광특구,치킨전문점,1267077991.2
2014,1,관광특구,커피·음료,9007743350.5
2014,1,관광특구,패스트푸드점,1608974506.8333333
2014,1,관광특구,한식음식점,24814231645.333332
2014,1,발달상권,분식전문점,782735366.7468355
2014,1,발달상권,양식음식점,1325789432.844221
2014,1,발달상권,일식음식점,911871952.2870814
2014,1,발달상권,중식음식점,429929762.3488372
2014,1,발달상권,치킨전문점,392386300.6813187
2014,1,발달상권,커피·음료,1444768388.7090163
2014,1,발달상권,패스트푸드점,480056608.85393256
2014,1,발달상권,한식음식점,5209669204.440476
2014,1,전통시장,분식전문점,109960935.74050634
2014,1,전통시장,양식음식점,264432053.78947368
2014,1,전통시장,일식음식점,134412877.89795917
2014,1,전통시장,중식음식점,75270610.72727273
2014,1,전통시장,치킨전문점,64837143.70535714
2014,1,전통시장,커피·음료,135152792.09708738
2014,1,전통시장,패스트푸드점,148846690.54166666
2014,1,전통시장,한식음식점,695782144.0696517
2014,2,골목상권,분식전문점,111534567.1800948
2014,2,골목상권,양식음식점,236202343.2971246
2014,2,골목상권,일식음식점,157429577.5015873
2014,2,골목상권,중식음식점,100734212.76011994
2014,2,골목상권,치킨전문점,110213705.8511822
2014,2,골목상권,커피·음료,150170920.0730816
2014,2,골목상권,패스트푸드점,109972773.59751037
2014,2,골목상권,한식음식점,854433339.8633165
2014,2,관광특구,분식전문점,4168246103.8333335
