"","sr","y1trend","y3trend","randommean","randomsd"
"1",1,3.59845521902433e-07,3.49718972484742e-07,174936809961062,2871157.02351079
"2",3,3.59845521902433e-07,3.49718972484742e-07,174936809961062,2871157.02351079
"3",2,3.59845521902433e-07,3.49718972484742e-07,174936809961062,2871157.02351079
"4",4,3.59845521902433e-07,3.49718972484742e-07,174936809961062,2871157.02351079
