STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
2014,1,R,전통시장,1001323,답십리시장,다이나믹,87,39,91,44
2014,1,A,골목상권,1000231,동일로123길,상권축소,110,43,91,44
2014,1,A,골목상권,1000652,중앙로15길,상권확장,80,49,91,44
2014,1,A,골목상권,1000254,사가정로54길,정체,111,49,91,44
2014,1,R,전통시장,1001333,중화제일시장,상권확장,90,46,91,44
2014,1,A,골목상권,1000397,수색로18길,정체,115,49,91,44
2014,1,A,골목상권,1000957,송이로36길,다이나믹,76,39,91,44
2014,1,A,골목상권,1000088,고산자로6길,상권확장,82,45,91,44
2014,1,A,골목상권,1000292,인촌로24길,상권확장,89,49,91,44
2014,1,D,발달상권,1001231,서울 동대문구 신설동역_2,상권축소,106,38,91,44
2014,1,A,골목상권,1000919,삼성로57길,다이나믹,78,40,91,44
2014,1,R,전통시장,1001313,청량리수산시장,정체,125,61,91,44
2014,1,A,골목상권,1000770,여의대방로22길,다이나믹,89,43,91,44
2014,1,A,골목상권,1000939,학동로77길,다이나믹,88,44,91,44
2014,1,A,골목상권,1000285,안암로5길,상권확장,87,50,91,44
2014,1,A,골목상권,1000547,중앙로51길,다이나믹,90,44,91,44
2014,1,A,골목상권,1000326,도봉로99길,다이나믹,78,33,91,44
2014,1,A,골목상권,1000610,개봉로17길,다이나믹,74,41,91,44
2014,1,A,골목상권,1000289,인촌로17가길,정체,93,59,91,44
2014,1,D,발달상권,1001207,서울 중구 신당역_2,정체,127,45,91,44
2014,1,A,골목상권,1000749,사당로20길,상권축소,106,41,91,44
2014,1,A,골목상권,1000145,뚝섬로24길,정체,128,48,91,44
2014,1,D,발달상권,1001161,건대입구역,다이나믹,45,30,91,44
2014,1,A,골목상권,1000483,성미산로32길,다이나믹,45,34,91,44
2014,1,A,골목상권,1000028,난계로11길,정체,110,53,91,44
2014,1,A,골목상권,1000180,망우로18길,다이나믹,85,44,91,44
2014,1,D,발달상권,1001196,시청역_1,정체,119,58,91,44
2014,1,R,전통시장,1001410,대원종합시장,정체,107,50,91,44
2014,1,A,골목상권,1000517,남부순환로88길,다이나믹,74,39,91,44
2014,1,A,골목상권,1000681,시흥대로84길,정체,97,48,91,44
2014,1,R,전통시장,1001447,상도4동도깨비골목시장,정체,103,50,91,44
2014,1,A,골목상권,1000665,독산로78다길,정체,104,47,91,44
2014,1,A,골목상권,1000456,홍연길,정체,101,63,91,44
2014,1,A,골목상권,1000792,난곡로74길,다이나믹,84,32,91,44
2014,1,A,골목상권,1000811,봉천로13길,다이나믹,80,42,91,44
2014,1,A,골목상권,1000803,남현길,상권확장,87,44,91,44
2014,1,A,골목상권,1000813,서림7길,상권확장,79,62,91,44
2014,1,A,골목상권,1000709,디지털로74길,상권축소,101,44,91,44
2014,1,A,골목상권,1000716,신길로42가길,정체,134,60,91,44
2014,1,A,골목상권,1000703,도신로15길,상권확장,81,47,91,44
2014,1,A,골목상권,1000727,영등포로27길,상권축소,109,36,91,44
2014,1,A,골목상권,1000064,우사단로4길,정체,95,47,91,44
2014,1,A,골목상권,1000700,도림로147길,정체,120,50,91,44
2014,1,A,골목상권,1000430,진흥로1길,다이나믹,78,39,91,44
2014,1,R,전통시장,1001374,대림골목시장,정체,109,50,91,44
2014,1,A,골목상권,1000762,서달로10길,정체,144,74,91,44
2014,1,D,발달상권,1001032,서울 관악구 신림역_2,상권확장,76,46,91,44
2014,1,D,발달상권,1001013,양재 화물트럭터미널앞_2,다이나믹,63,35,91,44
2014,1,R,전통시장,1001336,우림골목시장,정체,101,45,91,44
2014,1,D,발달상권,1001131,청담역_2,다이나믹,89,43,91,44
2014,1,D,발달상권,1001088,삼성역_1,다이나믹,84,41,91,44
2014,1,D,발달상권,1001251,서울 강북구 미아삼거리역_1,다이나믹,79,43,91,44
2014,1,A,골목상권,1000138,능동로19길,다이나믹,85,40,91,44
2014,1,D,발달상권,1001105,서울 동작구 노량진역,상권확장,85,46,91,44
2014,1,A,골목상권,1000869,서초대로15길,상권축소,98,42,91,44
2014,1,R,전통시장,1001451,사당시장,정체,116,47,91,44
2014,1,A,골목상권,1000220,휘경로2길,상권확장,89,46,91,44
2014,1,A,골목상권,1000365,도봉로169나길,정체,98,45,91,44
2014,1,D,발달상권,1001208,서울 중구 을지로3가역_2,정체,128,54,91,44
2014,1,R,전통시장,1001455,봉일시장,정체,113,45,91,44
2014,1,R,전통시장,1001380,포방터시장,상권축소,95,42,91,44
2014,1,D,발달상권,1001260,창동역,다이나믹,87,43,91,44
2014,1,A,골목상권,1000994,올림픽로71길,다이나믹,80,42,91,44
2014,1,A,골목상권,1000050,녹사평대로11길,상권축소,113,43,91,44
2014,1,R,전통시장,1001454,봉천제일종합시장,상권축소,107,43,91,44
2014,1,A,골목상권,1000265,돌곶이로28길,상권축소,117,39,91,44
2014,1,A,골목상권,1000083,한강대로88길,정체,138,53,91,44
2014,1,A,골목상권,1000975,동남로82길,상권확장,90,49,91,44
2014,1,A,골목상권,1000345,인수봉로79길,상권축소,97,41,91,44
2014,1,A,골목상권,1000694,대림로31길,상권축소,99,40,91,44
2014,1,A,골목상권,1000725,여의대방로61길,정체,112,47,91,44
