"sr","ssd","y1trend","y3trend","randommean","randomsd"
2,10778081.0945361,1.78792282956862e-07,3.90306515507853e-07,1965106476921715,9641530.13662788
3,10778081.0945361,1.78792282956862e-07,3.90306515507853e-07,1965106476921715,9641530.13662788
1,10778081.0945361,1.78792282956862e-07,3.90306515507853e-07,1965106476921715,9641530.13662788
4,10778081.0945361,1.78792282956862e-07,3.90306515507853e-07,1965106476921715,9641530.13662788
