날짜,현재가,오픈,고가,저가,변동 %
2012년 11월,1082.50 ,"1,090.92","1,093.95","1,081.00",-0.72%
2012년 10월,1090.32 ,"1,113.27","1,117.35","1,089.57",-2.10%
2012년 9월,1113.67 ,"1,133.79","1,136.76","1,110.90",-1.77%
2012년 8월,1133.79 ,"1,130.87","1,138.50","1,124.30",0.28%
2012년 7월,1130.67 ,"1,140.80","1,157.00","1,130.00",-0.93%
2012년 6월,1141.32 ,"1,180.47","1,184.30","1,140.85",-3.32%
2012년 5월,1180.47 ,"1,129.20","1,186.75","1,125.70",4.45%
2012년 4월,1130.15 ,"1,133.10","1,147.55","1,121.70",-0.15%
2012년 3월,1131.90 ,"1,119.30","1,142.35","1,112.00",1.13%
2012년 2월,1119.30 ,"1,125.95","1,135.25","1,114.60",-0.61%
2012년 1월,1126.20 ,"1,159.25","1,166.95","1,120.55",-2.85%
2011년 12월,1159.25 ,"1,140.80","1,180.55","1,122.65",1.64%
2011년 11월,1140.55 ,"1,112.35","1,165.20","1,110.20",2.54%
2011년 10월,1112.35 ,"1,180.50","1,208.40","1,100.30",-5.82%
2011년 9월,1181.10 ,"1,066.60","1,198.30","1,060.10",10.86%
2011년 8월,1065.40 ,"1,052.30","1,096.40","1,048.45",1.05%
2011년 7월,1054.30 ,"1,067.10","1,069.10","1,048.25",-1.19%
2011년 6월,1067.00 ,"1,077.60","1,092.10","1,066.50",-1.07%
2011년 5월,1078.50 ,"1,070.30","1,102.10","1,064.05",0.94%
2011년 4월,1068.50 ,"1,098.50","1,098.60","1,068.50",-2.55%
2011년 3월,1096.50 ,"1,125.65","1,144.80","1,094.70",-2.56%
2011년 2월,1125.35 ,"1,119.70","1,136.50","1,099.70",0.49%
2011년 1월,1119.88 ,"1,121.12","1,132.17","1,107.62",-0.12%
2010년 12월,1121.25 ,"1,157.75","1,172.65","1,119.45",-3.17%
2010년 11월,1158.00 ,"1,121.30","1,171.90","1,104.80",2.98%
2010년 10월,1124.50 ,"1,139.00","1,143.40","1,107.40",-1.38%
2010년 9월,1140.25 ,"1,198.15","1,199.15","1,138.15",-4.90%
2010년 8월,1199.00 ,"1,181.60","1,201.20","1,156.40",1.37%
2010년 7월,1182.75 ,"1,226.65","1,239.45","1,180.95",-3.31%
2010년 6월,1223.25 ,"1,204.15","1,272.55","1,170.05",1.76%
2010년 5월,1202.12 ,"1,108.90","1,276.90","1,107.81",8.45%
2010년 4월,1108.50 ,"1,130.40","1,131.40","1,103.00",-2.15%
2010년 3월,1132.80 ,"1,158.00","1,160.80","1,126.80",-2.34%
2010년 2월,1160.00 ,"1,160.30","1,177.90","1,140.80",0.09%
2010년 1월,1158.90 ,"1,163.27","1,166.70","1,115.10",-0.62%
