"날짜","현재가","오픈","고가","저가","변동 %"
"2012년 1월","1.0029","1.0210","1.0320","0.9964","-1.64%"
"2011년 12월","1.0196","1.0190","1.0427","1.0052","0.02%"
"2011년 11월","1.0194","0.9997","1.0525","0.9972","1.98%"
"2011년 10월","0.9996","1.0481","1.0658","0.9889","-4.80%"
"2011년 9월","1.0500","0.9784","1.0506","0.9735","7.37%"
"2011년 8월","0.9779","0.9558","1.0011","0.9490","2.37%"
"2011년 7월","0.9553","0.9639","0.9779","0.9405","-0.84%"
"2011년 6월","0.9634","0.9689","0.9914","0.9623","-0.53%"
"2011년 5월","0.9685","0.9458","0.9819","0.9446","2.53%"
"2011년 4월","0.9446","0.9699","0.9722","0.9437","-2.64%"
"2011년 3월","0.9702","0.9715","0.9975","0.9666","-0.15%"
"2011년 2월","0.9717","1.0010","1.0013","0.9708","-2.95%"
"2011년 1월","1.0012","0.9950","1.0059","0.9829","0.42%"
"2010년 12월","0.9970","1.0266","1.0273","0.9925","-2.88%"
"2010년 11월","1.0266","1.0192","1.0289","0.9973","0.76%"
"2010년 10월","1.0189","1.0295","1.0373","0.9973","-0.99%"
"2010년 9월","1.0291","1.0649","1.0659","1.0192","-3.31%"
"2010년 8월","1.0643","1.0294","1.0675","1.0105","3.36%"
"2010년 7월","1.0297","1.0638","1.0678","1.0251","-3.28%"
"2010년 6월","1.0646","1.0439","1.0682","1.0137","1.87%"
"2010년 5월","1.0451","1.0163","1.0853","1.0099","2.71%"
"2010년 4월","1.0175","1.0151","1.0216","0.9928","0.22%"
"2010년 3월","1.0153","1.0547","1.0575","1.0061","-3.58%"
"2010년 2월","1.0530","1.0704","1.0781","1.0370","-1.57%"
"2010년 1월","1.0698","1.0537","1.0701","1.0224","1.69%"
